,수요일,목요일,금요일,토요일,일요일,월요일,화요일,수요일,목요일,금요일,토요일,일요일,월요일,화요일,수요일,목요일,금요일,토요일,일요일,월요일,화요일,수요일,목요일,금요일,토요일,일요일,월요일,화요일,수요일,목요일,금요일,토요일
ㅛㅎㅎ ,22.9666666666667/4,32.7/3,20.7833333333333/3,57.7/3,/,10.2333333333333/3,28.5666666666667/4,22.25/4,20.0833333333333/4,25.1/4,24.95/4,21.9166666666667/4,25/5,23.5333333333333/6,47.1666666666667/6,/,30.0333333333333/3,21.95/3,27.7333333333333/3,18.3333333333333/3,22.2166666666667/3,23.7833333333333/4,25.0833333333333/6,24.0833333333333/3,26.3333333333333/4,20.8/4,23.8/3,23.8/4,24.3333333333333/4,31.3833333333333/3,20.55/3,23.95/4
smiilliin ,18.5833333333333/3,100.2/3,/,/,/,25.7666666666667/3,144.35/3,/,/,/,/,/,20.4333333333333/3,17.7666666666667/3,24/6,93.3666666666667/5,/,/,/,24.0166666666667/4,21.15/3,25.0666666666667/6,15.0666666666667/6,41.9833333333333/,19.1166666666667/4,30.2333333333333/7,23.95/3,19.9833333333333/3,23.55/6,77.3166666666667/6,/,/
원숭이 ,24.1833333333333/6,35.95/3,24.75/3,22.4166666666667/3,27.7166666666667/3,9.51666666666667/3,23.9166666666667/4,23.45/4,23.9/4,39.4333333333333/3,21.9833333333333/3,11.2333333333333/3,25.45/3,21.8666666666667/6,24.0166666666667/6,24.8333333333333/5,29.05/3,50.9/3,/,15.4166666666667/4,24.9/4,24.1666666666667/6,23.3166666666667/6,23.9666666666667/4,23.5833333333333/7,25.2833333333333/5,23.2166666666667/3,24.1333333333333/3,23.4166666666667/6,24.5/5,30.0166666666667/3,31.1666666666667/3
